Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
S Weerakoon,Sajeewa Weerakoon,17/02/1978,2012-2012,2,0,0,0,0*,0.00,1,0,49.00,4.90,1/49,SRL,O
K Weeraratne,Kaushalya Weeraratne,29/01/1981,2000-2008,15,9,160,0,41*,20.00,6,0,64.17,4.81,3/46,SRL,O
U W M B C A Welegedara,Chanaka Welegedara,20/03/1981,2009-2010,10,3,4,0,2,4.00,15,1,28.87,5.68,5/66,SRL,O
D N Wellalage*,Dunith Wellalage,09/01/2003,2022-,29,22,379,0,67,22.29,37,3,28.92,5.25,5/27,SRL,O
M D S Wettimuny,Mithra Wettimuny,11/06/1951,1983-1983,1,1,2,0,2*,2.00,0,0,-,-,,SRL,O
S Wettimuny,Sidath Wettimuny,12/08/1956,1982-1987,35,33,786,0,86,24.56,1,0,70.00,7.37,1/13,SRL,O
S R D Wettimuny,Sunil Wettimuny,02/02/1949,1975-1979,3,3,136,0,67*,68.00,0,0,-,-,,SRL,O
R P A Wickramaratne,Hemantha Wickramaratne,21/02/1971,1993-1993,3,2,4,0,3*,2.00,0,0,-,-,,SRL,O
G P Wickramasinghe,Pramodya Wickremasinghe,14/08/1971,1990-2002,134,64,344,0,32*,8.60,109,1,39.64,4.53,4/48,SRL,O
A G D Wickremasinghe,Gamini Wickremasinghe,27/12/1965,1992-1993,4,1,2,0,2*,2.00,0,0,-,-,,SRL,O
K I W Wijegunawardene,Kapila Wijegunawardene,23/11/1964,1988-1992,26,12,20,0,8,2.86,25,1,39.44,4.99,4/49,SRL,O
R G C Wijesuriya,Roger Wijesuriya,18/02/1960,1982-1985,8,3,18,0,12,18.00,8,0,35.88,5.52,2/25,SRL,O
C Wirkramasinghe*,Chamindu Wirkramasinghe,06/09/2002,2024-2025,4,3,58,0,22*,19.33,1,0,66.00,7.07,1/28,SRL,O
D N T Zoysa,Nuwan Zoysa,13/05/1978,1997-2007,95,47,343,0,47,13.19,108,3,29.75,4.53,5/26,SRL,O
Total Players = 216,,,,,,,,,,,,,,,SRL,O
