Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
Umran Malik*,Umran Malik,22/11/1989,2022-,10,4,2,0,2,2.00,13,0,30.69,6.54,3/57,IND,O
J D Unadkat*,Jaydev Unadkat,18/10/1991,2013-,8,0,0,0,0*,0.00,9,1,25.00,3.95,4/41,IND,O
R V Uthappa,Robin Uthappa,11/11/1985,2006-2015,46,42,934,0,86*,25.94,0,0,-,0.00,0/0,IND,O
P S Vaidya,Prashant Vaidya,23/09/1967,1995-1996,4,2,15,0,12*,7.50,4,0,43.50,5.67,2/41,IND,O
C V Varun*,Varun Chakravarthy,29/08/1991,2025-2025,4,0,0,0,0*,0.00,10,1,19.00,4.75,5/42,IND,O
D B Vengsarkar,Dillip Vengsarkar,06/04/1956,1976-1991,129,120,3508,1,105*,34.73,0,0,-,4.00,0/4,IND,O
S Venkataraghavan,Srinivas Venkataraghavan,21/04/1945,1974-1983,15,9,54,0,26,10.80,5,0,108.40,3.75,2/34,IND,O
M Venkataramana,Margasaghayam Venkataramana,24/04/1966,1988-1988,1,1,0,0,0,0.00,2,0,18.00,3.60,2/36,IND,O
Y Venugopal Rao,Yalaka Venugopal Rao,26/02/1982,2005-2006,16,11,218,0,61,24.22,0,0,-,-,,IND,O
M Vijay,Murali Vijay,01/04/1984,2010-2015,17,16,339,0,72*,21.19,1,0,37.00,6.17,1/19,IND,O
R Vinay Kumar,Vinay Kumar,12/02/1984,2010-2013,31,13,86,0,27,9.56,38,1,37.45,5.95,4/30,IND,O
G R Viswanath,Gundappa Viswanath,12/02/1949,1974-1982,25,23,439,0,75*,19.95,0,0,-,-,,IND,O
S Viswanath,Sandanand Viswanath,29/11/1962,1985-1988,22,12,72,0,23,9.00,0,0,-,-,,IND,O
A L Wadekar,Ajit Wadekar,01/04/1941,1974-1974,2,2,73,0,67*,36.50,0,0,-,-,,IND,O
Washington Sundar*,Washington Sundar,05/10/1999,2017-,23,15,329,0,51*,23.50,24,0,27.88,4.85,3/30,IND,O
A S Wassan,Atul Wassan,23/03/1968,1990-1991,9,6,33,0,16*,8.25,11,0,25.73,3.99,3/28,IND,O
J Yadav,Jayant Yadav,22/01/1990,2016-2022,2,2,3,0,2*,3.00,1,0,61.00,4.36,1/8,IND,O
