Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
J Overton*,Jamie Overton,10/04/1994,2024-2025,5,5,81,0,32*,16.20,4,0,37.50,6.25,2/27,ENG,O
M S Panesar,Monty Panesar,25/04/1982,2007-2007,26,8,26,0,13*,5.20,24,0,40.83,4.50,3/25,ENG,O
M W Parkinson*,Matt Parkinson,24/10/1996,2020-2021,5,1,7,0,7,0.00,5,0,40.60,5.86,2/28,ENG,O
S D Parry,Stephen Parry,12/01/1986,2014-2014,2,0,0,0,0*,0.00,4,0,23.00,4.84,3/32,ENG,O
S R Patel,Samit Patel,30/11/1984,2008-2013,36,22,482,0,70,32.13,24,1,45.46,5.51,5/41,ENG,O
D A Payne*,David Payne,15/02/1991,2022-,1,0,0,0,0*,0.00,1,0,38.00,4.22,1/38,ENG,O
K P Pietersen,Kevin Pietersen,27/06/1980,2004-2013,134,123,4422,9,130*,41.33,7,0,52.86,5.55,2/22,ENG,O
L E Plunkett,Liam Plunkett,06/04/1985,2005-2019,89,50,646,0,56*,20.84,135,7,29.70,5.82,5/52,ENG,O
P I Pocock,Patrick Pocock,24/09/1946,1985-1985,1,1,4,0,4*,4.00,0,0,-,2.00,0/20,ENG,O
M J Potts*,Matthew Potts,29/10/1998,2022-,9,6,45,0,15,45.00,10,1,29.30,5.86,4/38,ENG,O
D R Pringle,Derek Pringle,18/09/1958,1982-1993,44,30,425,0,49,23.61,44,1,38.11,4.23,4/42,ENG,O
M J Prior,Matthew Prior,26/02/1982,2004-2011,68,62,1282,0,87*,24.19,0,0,-,-,,ENG,O
N V Radford,Neal Radford,07/06/1957,1988-1988,6,3,0,0,0,0.00,2,0,115.00,3.97,1/32,ENG,O
C T Radley,Clive Radley,13/05/1944,1978-1978,4,4,250,1,117,83.33,0,0,-,-,,ENG,O
M R Ramprakash,Mark Ramprakash,05/09/1969,1991-2001,18,18,376,0,51*,26.86,4,0,27.00,4.91,3/28,ENG,O
D W Randall,Derek Randall,24/02/1951,1976-1985,49,45,1067,0,88*,26.68,1,0,2.00,6.00,1/2,ENG,O
W B Rankin,Boyd Rankin,05/07/1984,2013-2014,7,2,5,0,4*,5.00,10,1,24.10,4.53,4/46,ENG,O
A U Rashid*,Adil Rashid,17/02/1988,2009-,149,79,934,0,69*,17.30,215,11,32.83,5.63,5/27,ENG,O
C M W Read,Chris Read,10/08/1978,2000-2006,36,24,300,0,30,17.65,0,0,-,-,,ENG,O
D A Reeve,Dermot Reeve,02/04/1963,1991-1996,29,21,291,0,35*,24.25,20,0,41.00,4.29,3/20,ENG,O
Rehan Ahmed*,Rehan Ahmed,13/08/2004,2023-,6,4,35,0,15*,8.75,10,1,23.30,4.96,4/54,ENG,O
S J Rhodes,Steven Rhodes,17/06/1964,1989-1995,9,8,107,0,56*,17.83,0,0,-,-,,ENG,O
C J Richards,Jack Richards,10/08/1958,1981-1988,22,16,154,0,50*,11.85,0,0,-,-,,ENG,O
R T Robinson,Tim Robinson,21/11/1958,1984-1988,26,26,597,0,83*,22.96,0,0,-,-,,ENG,O
T S Roland-Jones,Toby Roland-Jones,29/01/1988,2017-2017,1,1,37,0,37,0.00,1,0,34.00,4.86,1/34,ENG,O
G R J Roope,Graham Roope,12/07/1946,1973-1978,8,8,173,0,44*,21.63,0,0,-,-,,ENG,O
J E Root*,Joe Root,30/12/1990,2013-,177,166,6859,17,133,47.97,28,0,61.86,5.92,3/52,ENG,O
B C Rose,Brian Rose,04/06/1950,1977-1977,2,2,99,0,54*,49.50,0,0,-,-,,ENG,O
J J Roy*,Jason Roy,21/07/1990,2015-,116,110,4271,12,180*,39.92,0,0,-,-,,ENG,O
R C Russell,Jack Russell,15/08/1963,1987-1998,40,31,423,0,50*,17.63,0,0,-,-,,ENG,O
